場,レース,買い目,推定確率%,オッズ(取得時),回収率%
桐生,6R,1-5-4,4.65,44.3,206.0
三国,2R,1-4-2,9.09,22.6,205.4
蒲郡,6R,2-1-3,4.00,51.2,205.0
宮島,8R,1-2-6,6.43,31.8,204.6
宮島,1R,1-2-3,4.48,45.7,204.5
多摩川,12R,2-4-1,2.24,91.2,204.0
鳴門,11R,4-1-5,8.16,25.0,203.9
桐生,7R,2-4-1,2.51,81.1,203.8
蒲郡,12R,5-1-4,3.76,54.0,203.1
びわこ,5R,5-1-3,3.77,53.8,202.9
三国,1R,1-2-4,11.79,17.2,202.8
宮島,3R,2-3-1,2.12,95.5,202.8
三国,6R,1-2-5,3.33,60.9,202.5
丸亀,5R,3-1-2,8.57,23.6,202.2
三国,3R,1-4-6,2.09,96.5,202.1
三国,1R,1-4-3,3.20,63.1,201.8
鳴門,10R,1-3-2,4.48,45.0,201.7
鳴門,3R,1-4-2,2.02,99.7,201.5
平和島,10R,1-3-4,4.53,44.5,201.5
桐生,1R,1-3-5,3.31,60.9,201.4
丸亀,2R,1-4-2,5.65,35.6,201.3
尼崎,3R,1-5-3,10.76,18.6,200.2
丸亀,9R,2-1-3,5.96,33.6,200.1
蒲郡,8R,2-1-4,3.04,65.8,200.1
尼崎,3R,1-5-4,8.13,24.6,199.9
蒲郡,3R,1-5-2,3.84,52.1,199.9
丸亀,1R,4-1-3,2.08,95.9,199.7
尼崎,4R,1-2-4,11.54,17.3,199.6
唐津,4R,3-1-5,2.28,87.6,199.4
多摩川,2R,4-2-1,4.98,40.0,199.3
三国,11R,2-4-1,3.38,58.9,198.9
びわこ,6R,1-3-4,2.28,86.9,198.3
びわこ,7R,4-1-3,2.08,95.1,198.3
唐津,8R,1-3-2,11.99,16.5,197.9
宮島,5R,3-1-4,6.96,28.3,197.0
丸亀,1R,1-5-3,6.36,31.0,197.0
多摩川,7R,4-1-5,2.16,91.0,196.4
蒲郡,11R,1-4-5,19.62,10.0,196.2
鳴門,10R,2-1-3,6.24,31.4,196.1
唐津,10R,4-1-2,2.75,71.2,195.7
丸亀,12R,2-4-1,2.10,93.0,195.6
宮島,9R,1-2-3,4.24,46.1,195.6
びわこ,5R,3-1-5,7.61,25.6,194.9
桐生,8R,2-1-3,9.74,20.0,194.8
尼崎,5R,1-4-2,11.59,16.8,194.6
三国,10R,1-5-6,2.63,73.8,194.3
平和島,12R,1-2-4,11.43,17.0,194.3
びわこ,6R,4-2-1,2.35,82.6,194.3
蒲郡,11R,1-5-4,6.87,28.2,193.7
尼崎,3R,3-1-5,2.73,70.9,193.7
尼崎,12R,1-6-2,2.28,84.9,193.5
