date,stadium,race,combo,prob%,odds_at_scan,result_combo,hit,payout,pnl
20260707,11,1,1-3-4,7.88,26.2,1-5-3,×,0,-100
20260707,11,7,1-4-2,4.92,42.0,2-3-4,×,0,-100
20260707,02,9,3-1-2,5.01,41.2,3-5-1,×,0,-100
20260707,05,2,5-2-1,2.3,89.5,1-4-6,×,0,-100
20260707,11,6,4-3-2,2.12,97.1,3-2-4,×,0,-100
20260707,18,5,1-4-2,6.87,29.9,1-3-5,×,0,-100
20260707,08,6,4-1-2,5.15,39.8,4-1-2,○,3980,3880
20260707,12,1,3-1-4,2.05,99.7,1-3-4,×,0,-100
20260707,02,9,2-1-3,2.41,85.0,3-5-1,×,0,-100
20260707,02,4,1-2-4,2.66,76.8,1-5-6,×,0,-100
20260707,13,6,1-5-4,2.7,75.8,1-5-6,×,0,-100
20260707,13,3,2-1-4,2.64,77.5,2-1-3,×,0,-100
20260707,20,3,2-5-1,4.24,48.0,1-3-2,×,0,-100
20260707,02,2,3-1-4,2.97,68.4,5-1-4,×,0,-100
20260707,01,1,1-2-3,5.46,37.2,2-6-4,×,0,-100
20260707,04,4,1-3-2,8.3,24.4,3-4-1,×,0,-100
20260707,18,8,4-3-1,2.25,90.0,1-3-4,×,0,-100
20260707,24,6,4-1-3,3.22,62.9,2-3-1,×,0,-100
20260707,02,8,2-3-1,2.66,76.1,2-3-1,○,7610,7510
20260707,04,12,2-4-1,2.05,98.7,1-3-2,×,0,-100
20260707,10,6,1-2-4,4.58,44.1,5-1-6,×,0,-100
20260707,18,8,1-5-3,4.13,48.8,1-3-4,×,0,-100
20260707,05,9,1-2-3,8.65,23.3,3-5-6,×,0,-100
20260707,12,12,1-5-3,3.1,64.8,2-3-1,×,0,-100
20260707,18,10,4-2-1,4.95,40.4,2-1-6,×,0,-100
20260707,05,4,4-2-1,7.4,27.0,2-1-6,×,0,-100
20260707,12,7,3-1-4,2.27,87.8,4-5-3,×,0,-100
20260707,08,8,1-2-4,4.02,49.6,2-3-6,×,0,-100
20260707,11,3,1-5-3,4.32,46.0,1-3-4,×,0,-100
20260707,10,1,1-4-2,4.85,40.9,3-1-6,×,0,-100
20260707,24,4,5-1-4,1.99,99.9,4-1-5,×,0,-100
20260707,02,2,4-1-2,2.28,87.0,5-1-4,×,0,-100
20260707,11,8,1-4-2,4.38,45.2,1-2-3,×,0,-100
20260707,08,2,1-3-2,4.73,41.6,3-2-1,×,0,-100
20260707,05,6,1-4-3,7.61,25.8,5-4-1,×,0,-100
20260707,05,2,5-1-2,1.97,99.4,1-4-6,×,0,-100
20260707,24,4,1-4-2,9.89,19.8,4-1-5,×,0,-100
20260707,05,10,1-4-3,11.93,16.4,3-1-6,×,0,-100
20260707,02,5,1-5-2,4.89,39.9,4-1-2,×,0,-100
20260707,10,6,2-1-5,8.22,23.7,5-1-6,×,0,-100
20260707,18,6,3-1-2,2.39,81.5,1-5-2,×,0,-100
20260707,11,1,1-3-2,7.31,26.6,1-5-3,×,0,-100
20260707,08,11,1-4-2,10.62,18.3,1-2-6,×,0,-100
20260707,02,7,1-3-2,6.45,30.1,5-4-1,×,0,-100
20260707,08,8,2-4-1,2.54,76.2,2-3-6,×,0,-100
20260707,04,9,3-1-2,4.26,45.4,1-4-3,×,0,-100
20260707,02,3,3-4-1,2.34,82.4,4-6-2,×,0,-100
20260707,04,11,4-1-2,4.28,45.0,1-2-5,×,0,-100
20260707,02,7,1-2-3,4.82,39.9,5-4-1,×,0,-100
20260707,12,6,1-5-4,12.65,15.2,1-5-2,×,0,-100
20260707,24,10,1-5-3,7.28,26.4,1-3-4,×,0,-100
20260707,12,11,3-1-2,5.08,37.8,2-4-5,×,0,-100
20260707,11,11,4-1-3,3.51,54.6,1-6-4,×,0,-100
20260707,24,12,3-4-2,2.88,66.4,1-2-3,×,0,-100
20260707,24,3,5-2-4,4.03,47.5,2-5-4,×,0,-100
20260707,01,5,1-5-2,1.92,99.5,6-1-5,×,0,-100
20260707,05,1,1-4-5,2.75,69.3,4-1-5,×,0,-100
20260707,12,11,4-1-2,1.99,96.0,2-4-5,×,0,-100
20260707,24,6,1-2-4,5.49,34.7,2-3-1,×,0,-100
20260707,01,9,3-4-1,5.63,33.8,3-6-4,×,0,-100
20260707,01,5,1-2-4,4.32,44.0,6-1-5,×,0,-100
20260707,01,4,4-2-1,3.23,58.7,2-3-4,×,0,-100
20260707,20,11,1-4-2,12.47,15.2,1-4-3,×,0,-100
20260707,13,6,1-2-4,9.72,19.5,1-5-6,×,0,-100
20260707,11,2,1-5-2,7.28,26.0,1-4-3,×,0,-100
20260707,12,6,1-4-2,2.93,64.7,1-5-2,×,0,-100
20260707,18,1,4-1-2,6.71,28.2,1-3-4,×,0,-100
20260707,24,4,1-5-4,3.31,57.2,4-1-5,×,0,-100
20260707,13,12,2-1-3,12.04,15.7,1-2-4,×,0,-100
20260707,05,4,4-1-2,6.68,28.3,2-1-6,×,0,-100
20260707,12,11,3-4-1,3.19,59.2,2-4-5,×,0,-100
20260707,24,3,2-5-1,3.68,51.2,2-5-4,×,0,-100
20260707,11,11,4-1-2,6.62,28.4,1-6-4,×,0,-100
20260707,10,12,2-1-4,2.07,90.5,1-2-4,×,0,-100
20260707,01,2,1-2-3,3.45,54.4,3-2-5,×,0,-100
20260707,08,8,2-3-1,6.03,31.1,2-3-6,×,0,-100
20260707,18,11,1-4-5,4.79,39.1,1-4-2,×,0,-100
20260707,08,9,4-1-2,10.59,17.7,6-1-2,×,0,-100
20260707,01,2,3-1-2,1.99,94.2,3-2-5,×,0,-100
20260707,04,8,1-4-5,10.28,18.2,2-1-5,×,0,-100
20260707,20,6,3-1-5,4.93,37.9,6-3-1,×,0,-100
20260707,01,2,1-4-2,3.79,49.3,3-2-5,×,0,-100
20260707,01,12,4-1-2,4.79,39.0,1-4-2,×,0,-100
20260707,01,1,2-4-1,5.02,37.2,2-6-4,×,0,-100
20260707,18,9,1-5-4,4.78,39.0,3-1-5,×,0,-100
20260707,01,10,1-5-2,2.78,66.9,1-3-4,×,0,-100
20260707,02,11,1-4-2,9.89,18.8,1-2-4,×,0,-100
20260707,20,3,2-1-5,8.53,21.8,1-3-2,×,0,-100
20260707,01,10,1-4-2,4.7,39.5,1-3-4,×,0,-100
20260707,13,4,4-1-5,3.39,54.8,4-5-3,×,0,-100
20260707,11,6,3-1-2,5.15,35.9,3-2-4,×,0,-100
20260707,13,8,1-5-3,2.68,68.9,1-6-4,×,0,-100
20260707,13,5,3-1-2,8.05,22.9,3-1-2,○,2290,2190
20260707,08,3,2-1-3,4.47,41.2,1-6-2,×,0,-100
20260707,11,8,4-1-3,11.29,16.3,1-2-3,×,0,-100
20260707,01,2,1-3-2,4.7,39.1,3-2-5,×,0,-100
20260707,11,5,2-1-5,2.02,90.8,1-2-5,×,0,-100
20260707,02,11,2-1-4,4.09,44.9,1-2-4,×,0,-100
20260707,11,2,1-3-5,2.34,78.2,1-4-3,×,0,-100
20260707,02,10,2-1-6,2.21,82.8,2-1-5,×,0,-100
20260707,18,2,1-5-2,5.73,31.9,1-3-2,×,0,-100
20260707,05,5,4-1-2,4.02,45.4,1-3-5,×,0,-100
20260707,13,1,3-2-1,2.83,64.4,2-1-5,×,0,-100
20260707,24,9,1-4-3,3.57,51.0,1-2-3,×,0,-100
20260707,04,4,4-1-3,2.91,62.7,3-4-1,×,0,-100
20260707,20,7,4-1-2,4.94,36.9,3-4-1,×,0,-100
20260707,10,5,1-2-4,8.89,20.4,4-1-2,×,0,-100
20260707,13,1,5-1-3,2.23,81.3,2-1-5,×,0,-100
20260707,10,1,1-4-3,6.92,26.2,3-1-6,×,0,-100
20260707,13,10,1-5-4,2.49,72.7,1-3-6,×,0,-100
20260707,24,5,5-1-3,4.54,39.9,1-3-5,×,0,-100
20260707,24,2,4-3-1,4.16,43.5,1-4-3,×,0,-100
20260707,10,10,3-4-1,4.66,38.8,3-5-1,×,0,-100
20260707,10,9,3-2-1,3.07,58.8,1-5-6,×,0,-100
20260707,24,12,3-2-4,3.69,48.8,1-2-3,×,0,-100
20260707,20,6,1-3-4,13.11,13.7,6-3-1,×,0,-100
20260707,11,7,2-4-1,3.07,58.5,2-3-4,×,0,-100
